timestamp,drone_lat,drone_lon,drone_alt,base_lat,base_lon,base_alt,base_is_dynamic,calculated_azimuth,calculated_elevation,servo_azimuth,servo_elevation,horizontal_distance,slant_range,altitude_difference
2025-06-26T18:24:17.986279,13.026725,77.5633562,942.26,13.0266587,77.5633648,948.0,True,,,90.0,45.0,,,
2025-06-26T18:24:18.986767,13.026725,77.5633562,942.26,13.0266579,77.5633669,948.05,True,,,90.0,45.0,,,
2025-06-26T18:24:19.987253,13.026725,77.5633562,942.26,13.0266571,77.5633681,948.01,True,,,90.0,45.0,,,
2025-06-26T18:24:20.987732,13.026725,77.5633562,942.26,13.0266561,77.5633684,947.91,True,,,90.0,45.0,,,
2025-06-26T18:24:21.988215,13.026725,77.5633562,942.26,13.0266548,77.5633687,947.69,True,,,90.0,45.0,,,
2025-06-26T18:24:22.988693,13.026725,77.5633562,942.26,13.0266543,77.5633688,947.58,True,,,90.0,45.0,,,
2025-06-26T18:24:23.989477,13.026725,77.5633562,942.26,13.0266541,77.5633692,947.5,True,,,90.0,45.0,,,
2025-06-26T18:24:24.990008,13.026725,77.5633562,942.26,13.0266536,77.5633696,947.41,True,,,90.0,45.0,,,
2025-06-26T18:24:25.990658,13.026725,77.5633562,942.26,13.0266534,77.5633697,947.35,True,,,90.0,45.0,,,
2025-06-26T18:24:26.992281,13.026725,77.5633562,942.26,13.0266523,77.5633702,947.34,True,,,90.0,45.0,,,
2025-06-26T18:24:27.993099,13.026725,77.5633562,942.26,13.0266516,77.5633706,947.22,True,,,90.0,45.0,,,
2025-06-26T18:24:28.993584,13.026725,77.5633562,942.26,13.0266508,77.5633709,947.08,True,,,90.0,45.0,,,
2025-06-26T18:24:29.994075,13.026725,77.5633562,942.26,13.0266505,77.5633714,946.97,True,,,90.0,45.0,,,
2025-06-26T18:24:30.994577,13.026725,77.5633562,942.26,13.0266501,77.5633721,946.9,True,,,90.0,45.0,,,
2025-06-26T18:24:31.995053,13.026725,77.5633562,942.26,13.0266502,77.5633725,946.88,True,,,90.0,45.0,,,
2025-06-26T18:24:32.995636,13.026725,77.5633562,942.26,13.0266499,77.5633727,946.75,True,,,90.0,45.0,,,
2025-06-26T18:24:33.996383,13.026725,77.5633562,942.26,13.0266492,77.563373,946.76,True,,,90.0,45.0,,,
2025-06-26T18:24:34.997233,13.026725,77.5633562,942.26,13.026649,77.5633731,946.83,True,,,90.0,45.0,,,
2025-06-26T18:24:35.998216,13.026725,77.5633562,942.26,13.0266487,77.5633738,946.78,True,,,90.0,45.0,,,
2025-06-26T18:24:36.999024,13.026725,77.5633562,942.26,13.0266485,77.5633741,946.63,True,,,90.0,45.0,,,
2025-06-26T18:24:37.999482,13.026725,77.5633562,942.26,13.0266484,77.5633745,946.53,True,,,90.0,45.0,,,
2025-06-26T18:24:39.000243,13.026725,77.5633562,942.26,13.0266483,77.5633751,946.47,True,,,90.0,45.0,,,
2025-06-26T18:24:40.000694,13.026725,77.5633562,942.26,13.0266483,77.5633753,946.47,True,,,90.0,45.0,,,
2025-06-26T18:24:41.001125,13.026725,77.5633562,942.26,13.0266484,77.5633759,946.46,True,,,90.0,45.0,,,
2025-06-26T18:24:42.001584,13.026725,77.5633562,942.26,13.0266486,77.5633758,946.41,True,,,90.0,45.0,,,
